d_codigo,d_asenta,c_mnpio
21500,Valle de las Palmas,3
21503,Cañada Verde,3
21503,El Paraíso (El Capiro),3
21507,Villas Campestre,3
21507,Nueva Colonia Hindú,3
21507,Mi Ranchito (Chula Vista),3
21514,Jardines del Rincón,3
21600,Mariano Abasolo,2
21600,Castro,2
21600,Granjas Arco Iris,2
21604,El Centinela,2
21614,El Chorizo (Colonia Colorado 1 Campo León 1),2
21615,La Ladrillera (Colorado Número Tres),2
21621,Castro,2
21700,Cerro Prieto 5,2
21700,Chimi,2
21703,Jesús Sansón Flores,2
21703,Cerro Prieto 2,2
21703,Cerro Prieto 4,2
21703,Pacífico,2
21703,4 Cerro Prieto (Rancho el Roa),2
21713,Primavera,2
21720,Parcela del Valle,2
21720,Del Sol,2
21720,Nicolás Bravo,2
21723,Madero,2
21723,Zona del Canal (Chapultepéc),2
21723,Benito Juárez,2
21723,Galván el Chorizo (Elías),2
21723,Campo Otta (Elías),2
21725,Hidalgo (González Ortega Dos),2
21730,Las Palmas,2
21730,Renacimiento del Valle,2
21731,Ricardo Mazón Guerrero,2
21731,La Mariana,2
21731,José López Portillo (Venustiano Carranza),2
21742,Alvarado,2
21742,Terrenos Indios,2
21743,Leona Vicario,2
21743,Carrancita (Venustiano Carranza),2
21743,Venustiano Carranza Margen Izq (La Carrancita),2
21800,Nacay (Elías),2
21800,Campo la Curva (Silva),2
21800,La 21 (Silva),2
21801,El Milagro,2
21801,Héroes de la Patria,2
21801,Del Bosque,2
21802,Sombrerete,2
21820,Rodríguez,2
21821,Los Pinos (Silva),2
21821,Compuerta la 24 (Silva),2
21821,La Veinticuatro (Silva),2
21832,VIllarreal,2
21833,El Refugio (Silva el Ombligo),2
21840,Pescaderos (Campo la Catorce),2
21850,Naval San Felipe,2
21850,Real de San Felipe,2
21850,Plan Nacional Agrario,2
21850,Montaña y Mar,2
21850,Primera Sección,2
21850,Segunda Sección,2
21850,Ampliación Segunda Sección,2
21850,Los Gavilanes Sección 3,2
21850,Los Arcos,2
21850,Sterling (Francisco Villa),2
21850,Casimiro Alonso,2
21850,Recinto Portuario,2
21850,Club de Pesca,2
21850,Ampliación Poniente,2
21850,La Curva,2
21903,La Curva,2
21921,Villa Hermosa,2
21921,Familia Mascareño,2
21951,La 27 (Campamento SARH Km. 27),2
21960,Ciudad Morelos,2
21960,27 de Enero,2
21963,José María Rodriguez,2
21963,Cuervitos,2
21963,Oribe Alba,2
21964,Leyes de Reforma,2
21964,Granados (Recursos Hidráulicos),2
21966,Álamo,2
21970,Del Valle,2
21970,Dieguinos,2
21970,Francisco Santana Peralta,2
21980,5 de Mayo,2
22000,Zona Centro,4
22000,Zona Este,4
22000,Zona Norte,4
22010,Empleados Federales,4
22010,Cuauhtémoc,4
22010,Zona Urbana Río Tijuana,4
22014,Escolar Agua Caliente,4
22014,Agua Caliente Sección Pinos,4
22014,Aviación,4
22015,Marrón,4
22015,Revolución,4
22015,Plan de Barranquitas,4
22020,Chapultepec,4
22020,Hipódromo,4
22020,Neidhart,4
22020,Rincón Colonial Chapultepec,4
22020,Chapultepec Este,4
22020,Chapultepec 8a Sección,4
22024,Hipódromo Agua Caliente,4
22024,Lomas de Agua Caliente,4
22024,Agua Caliente,4
22024,Puerta de Hierro,4
22025,Lomas de Agua Caliente 1a Sección,4
22025,Rancho el Grande,4
22025,Jardines de Chapultepec,4
22025,Privada Catalana,4
22025,San Jerónimo,4
22030,Burócrata Hipódromo,4
22030,Colinas de Agua Caliente,4
22030,Lomas Hipódromo,4
22030,López Mateos,4
22030,Hacienda las Palomas,4
22030,La Remosa,4
22030,Hacienda Agua Caliente,4
22034,El Bosque,4
22034,Herradura,4
22034,Villa Lomas,4
22034,Lomas de Agua Caliente 5a Sección,4
