"d_codigo";"d_asenta";"fk_c_CP"
21394;"Venustiano Carranza";2002
21394;"Solidaridad Mexicali";2002
21395;"Diez Division Dos";2002
21395;"El Condor";2002
21395;"Las Aves";2002
21395;"Mexicali II";2002
21395;"Ampliacion Villa Florida";2002
21395;"Ampliacion Bugambilias";2002
21395;"Huertas del Sol";2002
21395;"Santa Fe";2002
21395;"Ladrillera";2002
21395;"Sol de Puebla";2002
21396;"Gonzalez Ortega Norte";2002
21396;"Mexicali";2002
21397;"Gonzalez Ortega";2002
21397;"Santa Rosa";2002
21398;"Gonzalez Ortega Poniente 1";2002
21398;"Raza";2002
21399;"Elizaura";2002
21399;"Eucaliptos";2002
21399;"Gonzalez Ortega Poniente 2";2002
21399;"Gonzalez Ortega Poniente 3";2002
21399;"1 de Mayo";2002
21399;"Mexicali del Sol";2002
21399;"Tavizan Silva";2002
21399;"Villas de La Republica";2002
21400;"Tecate Centro";2003
21410;"Espinoza";2003
21410;"Prohogar";2003
21420;"Esteban Cantu";2003
21420;"Pliego";2003
21430;"Aldrete";2003
21430;"Industrial";2003
21430;"1 de Mayo";2003
21430;"Libertad";2003
21432;"Sandoval";2003
21433;"San Jose";2003
21440;"Bella Vista";2003
21440;"Chavez";2003
21440;"Encanto Sur";2003
21440;"Carreño";2003
21440;"San Miguel";2003
21440;"El Escorial";2003
21442;"Rancho Santa Fe";2003
21447;"Encanto Norte";2003
21447;"Rancho Gandul";2003
21447;"Laderas de Tecate";2003
21450;"Downey";2003
21450;"Federal";2003
21450;"Moderna";2003
21450;"Gonzalez";2003
21450;"INFONAVIT Canaima";2003
21452;"Francisco Villa";2003
21452;"Trece Ayuntamiento";2003
21452;"Rincon Tecate";2003
21452;"Rincon Tecate 3a Etapa";2003
21452;"Rinconada Escudero";2003
21453;"Piedra Angular (Las Torres)";2003
21453;"El Escorial";2003
21453;"El Tepeyac";2003
21453;"Ilusion";2003
21460;"La Viñita";2003
21460;"Morelos";2003
21460;"Emiliano Zapata";2003
21460;"Jardines del Pedregal";2003
21462;"Miguel Aleman";2003
21470;"Cuauhtemoc Oeste";2003
21470;"Cuauhtemoc Este";2003
21470;"Guajardo";2003
21470;"Militar";2003
21472;"El Capiri";2003
21472;"Luis Donaldo Colosio";2003
21472;"Valle Verde";2003
21472;"Ampliacion Descanso";2003
21472;"El Mirador";2003
21477;"La Sierra";2003
21477;"El Yaqui";2003
21478;"Cucapah";2003
21478;"Jardines del Rio";2003
21478;"Fundadores";2003
21478;"Terrazas del Rio";2003
21479;"Las Huertas";2003
21480;"Benito Juarez";2003
21480;"Braulio Maldonado";2003
21480;"Loma Alta";2003
21480;"Loma Alta II";2003
21480;"La Bondad";2003
21480;"Residencial San Jorge";2003
21480;"INFONAVIT Loma Alta";2003
21482;"Maclovio Herrera (Colonia Aviacion)";2003
21483;"El Mirador";2003
21484;"Salamandra";2003
21485;"Paraiso";2003
21490;"Lazaro Cardenas";2003
21496;"Alfonso Garzon";2003
21500;"Ampliacion Valle de las Palmas";2003
21500;"Valle de las Palmas";2003
21503;"Cañada Verde";2003
21503;"El Paraiso (El Capiro)";2003
21507;"Villas Campestre";2003
21507;"Nueva Colonia Hindu";2003
21507;"Mi Ranchito (Chula Vista)";2003
21514;"Jardines del Rincon";2003
21600;"Mariano Abasolo";2002
21600;"Castro";2002
21600;"Granjas Arco Iris";2002
21604;"El Centinela";2002
21614;"El Chorizo (Colonia Colorado 1 Campo Leon 1)";2002
21615;"La Ladrillera (Colorado Numero Tres)";2002
21621;"Castro";2002
21700;"Cerro Prieto 5";2002
21700;"Chimi";2002
21703;"Jesus Sanson Flores";2002
21703;"Cerro Prieto 2";2002
21703;"Cerro Prieto 4";2002
21703;"Pacifico";2002
21703;"4 Cerro Prieto (Rancho el Roa)";2002
21713;"Primavera";2002
21720;"Parcela del Valle";2002
21720;"Del Sol";2002
21720;"Nicolas Bravo";2002
21723;"Madero";2002
21723;"Zona del Canal (Chapultepec)";2002
21723;"Benito Juarez";2002
21723;"Galvan el Chorizo (Elias)";2002
21723;"Campo Otta (Elias)";2002
21725;"Hidalgo (Gonzalez Ortega Dos)";2002
21730;"Las Palmas";2002
21730;"Renacimiento del Valle";2002
21731;"Ricardo Mazon Guerrero";2002
21731;"La Mariana";2002
21731;"Jose Lopez Portillo (Venustiano Carranza)";2002
21742;"Alvarado";2002
21742;"Terrenos Indios";2002
21743;"Leona Vicario";2002
21743;"Carrancita (Venustiano Carranza)";2002
21743;"Venustiano Carranza Margen Izq (La Carrancita)";2002
21800;"Nacay (Elias)";2002
21800;"Campo la Curva (Silva)";2002
21800;"La 21 (Silva)";2002
21801;"El Milagro";2002
21801;"Heroes de la Patria";2002
